Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-16455.0046800362	-16451.117666207843	N	-16455.0046800362	3.887013828356194
1	-13657.648454498236	-13652.297766388729	2.0	-13657.648454498236	5.350688109506877
2	-13414.81296544327	-13412.024510314443	3.0	-13414.81296544327	2.788455128828417
3	-11509.288699349961	-11516.736316912233	4.0	-11509.288699349961	-7.447617562271951
4	-10047.23730750084	-10060.724043250559	3.1	-10047.23730750084	-13.486735749718035
5	-9276.815193801714	-9292.780518724745	2.6	-9276.815193801714	-15.965324923029868
6	-9102.971641086318	-9114.742511306964	2.4	-9102.971641086318	-11.770870220645095
7	-8377.752426701809	-8410.311375249456	2.5	-8377.752426701809	-32.55894854764622
8	-8367.193554419804	-8396.960577716858	2.7	-8367.193554419804	-29.76702329705452
9	-8333.310736086602	-8363.734168462828	2.7	-8333.310736086602	-30.423432376227407
10	-8316.587955486795	-8350.482159248708	2.9	-8316.587955486795	-33.89420376191269
11	-8311.90763622287	-8332.595224244324	3.1	-8311.90763622287	-20.687588021453738
12	-8307.088851899276	-8320.615313355456	3.2	-8307.088851899276	-13.526461456181018
13	-8297.970441326766	-8308.481974901597	3.3	-8297.970441326766	-10.511533574829755
14	-8297.701555605947	-8310.481078757173	3.5	-8297.701555605947	-12.77952315122598
15	-8283.027314161405	-8293.965458690709	3.6	-8283.027314161405	-10.938144529304422
16	-8265.717557609354	-8273.769784209588	3.8	-8265.717557609354	-8.052226600233624
17	-8253.538362147383	-8263.36905332458	4.0	-8253.538362147383	-9.830691177198648
18	-8253.375340848734	-8264.323895650283	4.2	-8253.375340848734	-10.948554801548323
19	-8251.900170237617	-8260.131950898007	5.1	-8251.900170237617	-8.23178066039019
20	-8240.877912727243	-8250.252648602192	5.3	-8240.877912727243	-9.374735874949758
21	-8239.448665085934	-8248.885728464733	5.6	-8239.448665085934	-9.437063378799275
22	-8238.184733723665	-8247.788811321738	5.8	-8238.184733723665	-9.604077598072333
23	-8231.524172415002	-8240.362432473608	6.1	-8231.524172415002	-8.838260058606668
24	-8227.846670240098	-8236.079476210525	6.4	-8227.846670240098	-8.232805970425987
25	-8214.500698874122	-8223.106157886117	6.6	-8214.500698874122	-8.605459011994578
26	-8213.214273102207	-8221.949092892533	6.9	-8213.214273102207	-8.73481979032613
27	-8210.56517007259	-8220.618733562682	7.1	-8210.56517007259	-10.053563490091182
28	-8204.499977568963	-8213.120860658446	7.4	-8204.499977568963	-8.62088308948284
29	-8203.80037552361	-8213.877734946107	7.8	-8203.80037552361	-10.077359422497878
30	-8203.520787170259	-8212.49661725789	8.0	-8203.520787170259	-8.975830087631556
31	-8202.551457452553	-8211.526228863846	8.3	-8202.551457452553	-8.974771411292343
32	-8201.761667910527	-8210.32805445937	8.5	-8201.761667910527	-8.56638654884407
33	-8201.615167171998	-8211.25186663994	8.7	-8201.615167171998	-9.636699467941373
34	-8201.164760264624	-8210.127968717381	8.9	-8201.164760264624	-8.963208452757367
35	-8201.095695332842	-8209.727196616288	9.1	-8201.095695332842	-8.631501283445663
36	-8201.09480468226	-8209.776446104133	9.3	-8201.09480468226	-8.681641421873131
37	-8201.084574474955	-8209.758280420387	9.5	-8201.084574474955	-8.673705945432022
38	-8200.689344751074	-8210.28611159867	9.7	-8200.689344751074	-9.59676684759637
39	-8200.64489857579	-8209.403548739274	8.9	-8200.64489857579	-8.758650163482354
40	-8200.557155851437	-8210.539463183066	9.0	-8200.557155851437	-9.982307331629517
41	-8200.533365706347	-8211.313085019614	9.2	-8200.533365706347	-10.779719313266037
42	-8200.474885142956	-8209.29360639265	9.4	-8200.474885142956	-8.818721249694994
43	-8200.427317641746	-8209.135478972668	9.5	-8200.427317641746	-8.708161330921868
44	-8200.346329620043	-8209.557287690413	9.7	-8200.346329620043	-9.210958070370534
45	-8200.241495306875	-8209.040546828375	9.8	-8200.241495306875	-8.799051521500653
46	-8200.082808683472	-8208.684270287691	10.0	-8200.082808683472	-8.601461604218535
47	-8200.055579554773	-8209.29638754462	10.1	-8200.055579554773	-9.240807989845994
48	-8200.03637721629	-8208.648338468998	10.3	-8200.03637721629	-8.611961252709822
49	-8200.030082508933	-8208.999122425714	9.3	-8200.030082508933	-8.9690399167809
50	-8200.007766245639	-8208.701658013708	9.4	-8200.007766245639	-8.693891768068333
51	-8199.969063878725	-8208.546380547112	9.5	-8199.969063878725	-8.577316668386302
52	-8199.931874116664	-8208.523804463159	9.7	-8199.931874116664	-8.59193034649506
53	-8199.910694937773	-8208.646125343774	9.8	-8199.910694937773	-8.735430406000862
54	-8199.903299196874	-8208.772965975095	9.9	-8199.903299196874	-8.869666778220092
55	-8199.75353282483	-8208.426668357708	10.0	-8199.75353282483	-8.673135532876689
56	-8199.68677161369	-8208.324141057503	10.1	-8199.68677161369	-8.63736944381299
57	-8199.671346504216	-8208.429686364703	10.3	-8199.671346504216	-8.758339860487471
