"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-8284.31886775717,5.86878102963904,2.28291030377508e-30,17.5736694657938
"2","GTR","relaxed_log_normal","yule",-8242.84232036559,7.24407083657189,2.35247224827823e-12,8.73836561008542
"3","GTR","strict","birth_death",-8235.04611433848,5.06263188088829,0.00000000571970679146795,7.10014022813148
"4","GTR","strict","yule",-8257.13165867182,7.01905616006727,1.46468330853085e-18,9.6627743388815
"5","HKY","relaxed_log_normal","birth_death",-8225.76063976954,4.55146553004624,0.0000616600870231427,12.5362475982244
"6","HKY","relaxed_log_normal","yule",-8229.05267465188,4.77364549619092,0.00000229240606973157,5.10898085510172
"7","HKY","strict","birth_death",-8238.07443899692,5.68530907574002,0.000000000276814654356431,9.84845145444677
"8","HKY","strict","yule",-8232.39167370273,4.82337529098014,0.000000081317250685147,8.3468272110309
"9","JC69","relaxed_log_normal","birth_death",-8220.12490287309,4.33520458200904,0.0172811869674787,6.97138009153629
"10","JC69","relaxed_log_normal","yule",-8219.43845026376,3.97048007578119,0.0343317664312977,5.54743915174678
"11","JC69","strict","birth_death",-8216.12113287798,2.61938993600021,0.947084621255004,7.03867537222621
"12","TN93","relaxed_log_normal","birth_death",-8222.76100145133,4.26135720512849,0.00123802810138484,6.71418452627964
"13","TN93","relaxed_log_normal","yule",-8235.28404139113,4.6338315370666,0.00000000450861716497761,9.49637690414206
"14","TN93","strict","birth_death",-8231.09820973634,4.85440313880671,0.000000296433273526818,13.5946703330527
"15","TN93","strict","yule",-8232.75590228045,5.64954307454055,0.0000000564937267985684,5.89324190433825
