#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment" name="distribution" x="@BDBirthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment" name="distribution" x="@BDDeathRate.t:alignment">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-8347.372828421363	-8334.920304591422	-12.452523829941558	-8334.920304591422	3.5338720092411458	-12.452523829941558	1.0	0.5
1000	-8211.783661757143	-8204.854209873985	-6.929451883157991	-8204.854209873985	1.0637409572757228	-6.929451883157991	0.3354455451345872	0.2343012694971265
2000	-8210.13980118795	-8203.518064457026	-6.621736730923107	-8203.518064457026	1.0190671183491178	-6.621736730923107	1.1304443710066603	0.30587038360830215
3000	-8208.801061241536	-8202.233544016846	-6.5675172246901425	-8202.233544016846	1.0267160651565521	-6.5675172246901425	0.8743016849658755	0.4405139947274116
4000	-8212.275719749343	-8204.906699036746	-7.369020712596835	-8204.906699036746	1.0482804583556504	-7.369020712596835	1.5079653012952179	0.25750313506621825
5000	-8218.195834503873	-8208.536150558415	-9.65968394545788	-8208.536150558415	1.213649015912156	-9.65968394545788	2.054160587310605	0.16132711486004359
6000	-8210.468258539968	-8204.435265573624	-6.03299296634455	-8204.435265573624	1.0556918688092025	-6.03299296634455	1.0217653056298395	0.1512295955064525
7000	-8211.940023634117	-8205.86822551142	-6.0717981226977695	-8205.86822551142	0.9854587844500913	-6.0717981226977695	0.5021727647748275	0.2680122628781857
8000	-8211.410655993579	-8205.915004017706	-5.4956519758723035	-8205.915004017706	0.9752852946373582	-5.4956519758723035	0.9061816322045494	0.11301595099380488
9000	-8209.385787828041	-8203.77897548127	-5.606812346771367	-8203.77897548127	0.9776776031531843	-5.606812346771367	0.774073137306099	0.0380613196840217
10000	-8210.07351624961	-8204.224776089011	-5.848740160598882	-8204.224776089011	1.0496010932927855	-5.848740160598882	0.708637371992935	0.04522408381115449
11000	-8212.113580803298	-8205.452995405863	-6.6605853974334766	-8205.452995405863	0.97418874072852	-6.6605853974334766	0.3998098539183401	0.0921154662287829
12000	-8208.687837424912	-8202.363217529153	-6.3246198957594455	-8202.363217529153	1.0028548731443134	-6.3246198957594455	1.47382496057187	0.031474158608587106
13000	-8209.180594698819	-8203.61932282222	-5.561271876599635	-8203.61932282222	0.9772676428712791	-5.561271876599635	0.9323269773359912	0.06098205494242524
14000	-8211.64949658113	-8206.065144070159	-5.58435251097198	-8206.065144070159	0.988799001883129	-5.58435251097198	0.7113796277163484	0.05558327577122016
15000	-8209.102786083631	-8203.565719357299	-5.537066726332538	-8203.565719357299	0.9917435174043235	-5.537066726332538	0.7880832527351825	0.07663910734266807
16000	-8208.894191767078	-8202.572213315174	-6.32197845190504	-8202.572213315174	0.9851122132870989	-6.32197845190504	0.4268749572085321	0.18957053610420993
17000	-8212.614043293968	-8206.669677463173	-5.944365830796141	-8206.669677463173	1.0453923811223824	-5.944365830796141	0.6060743049604684	0.25054621783000947
18000	-8212.976550224155	-8206.81074134695	-6.1658088772054755	-8206.81074134695	1.0186958224785665	-6.1658088772054755	1.0959255186242443	0.16688304095595802
19000	-8209.407432257518	-8203.786040191366	-5.621392066151873	-8203.786040191366	1.0420138744996075	-5.621392066151873	0.7349919946606768	0.05272289088985406
20000	-8212.52973668805	-8204.464077266723	-8.06565942132653	-8204.464077266723	1.0778433330269164	-8.06565942132653	1.1677262871536789	0.518478426785328
21000	-8209.298051971202	-8202.880647603453	-6.417404367748876	-8202.880647603453	1.0595824314148146	-6.417404367748876	0.3683815730670525	0.5332054308798041
22000	-8212.411009285666	-8205.309507287662	-7.101501998003737	-8205.309507287662	1.0811737218173383	-7.101501998003737	1.1203406482236624	0.2916169067331381
23000	-8208.55067788881	-8202.432820899296	-6.117856989515248	-8202.432820899296	1.0212857071759593	-6.117856989515248	0.9610560642927003	0.25745255178689347
24000	-8209.863420235715	-8204.16702751205	-5.696392723664914	-8204.16702751205	0.969249717556594	-5.696392723664914	0.918302372867288	0.1360346812628534
25000	-8211.905449016023	-8206.016698143487	-5.888750872536641	-8206.016698143487	1.0967905969007683	-5.888750872536641	0.8735796618066274	0.09020204273750401
26000	-8211.634791271332	-8205.82210212069	-5.812689150641588	-8205.82210212069	0.9752373861631	-5.812689150641588	1.2163063427062155	0.033501500558446605
27000	-8209.067841969309	-8202.682262754714	-6.385579214595042	-8202.682262754714	1.0115541295262154	-6.385579214595042	0.4680614045389853	0.044162557323089595
28000	-8213.107238897612	-8207.204135384138	-5.90310351347396	-8207.204135384138	1.0856633282503307	-5.90310351347396	1.0592315036272653	0.03558755354505915
29000	-8209.091554368342	-8203.196768274993	-5.894786093348811	-8203.196768274993	1.0257097519551392	-5.894786093348811	0.6167066898586343	0.024286275734758358
30000	-8209.848757257925	-8204.079253695789	-5.769503562135573	-8204.079253695789	0.9937398011735982	-5.769503562135573	0.8305518202643835	0.23774937610196534
31000	-8214.391852999277	-8202.717695622725	-11.674157376552643	-8202.717695622725	1.0121275003579637	-11.674157376552643	2.527617170975631	0.36092477190709843
32000	-8210.4106775853	-8204.640200129164	-5.7704774561360335	-8204.640200129164	1.1131564090722323	-5.7704774561360335	0.8342343067317736	0.08862801782663433
